type,job_title,job_area,salary_bot,salary_top,year,education,company_title,company_info,skill,publis_name,welfare
java工程师,Java工程师,哈尔滨,5000,10000,5-10,本科,华云合创,互联网B轮20-99人,软件工程师, 刘先生,五险一金，节日福利，定期体检，餐补，交通补助，员工旅游，带薪年假
java工程师,java工程师,长沙,20000,30000,5-10,本科,老百姓大药房,医疗健康已上市10000人以上,Java Spring MySQL 不接受居家办公, 陈女士,包吃，节假日加班费，节日福利，通讯补贴，法定节假日三薪，员工旅游，全勤奖，免费班车，年终奖，宿舍有空调，带薪年假，五险一金，包住，生日福利，交通补助，餐补，补充医疗保险，定期体检
java工程师,java工程师,长沙,15000,30000,5-10,本科,华为技术有限公司,计算机软件不需要融资10000人以上,后端工程师 Java, 詹先生,五险一金，免费班车，年终奖，节日福利，加班补助，带薪年假，股票期权，离职补偿，员工旅游，住房补贴，零食下午茶，通讯补贴，全勤奖，定期体检，交通补助，补充医疗保险，餐补
java工程师,java工程师,青岛,8000,12000,5-10,本科,青岛石化检安,石油/石化1000-9999人,java 框架 jeecg, 张女士,年终奖，补充医疗保险，五险一金，定期体检，节日福利，员工旅游，带薪年假，免费班车
java工程师,java工程师,北京,15000,20000,5-10,本科,创志凌云,在线教育不需要融资20-99人,后端工程师 Java Spring MySQL 计算机/软件工程相关经验 Java开发经验  1、计算机及其相关专业，本科及其以上学, 张女士, 
java工程师,java工程师,成都,10000,15000,5-10,本科,中创云讯,企业服务A轮20-99人,Java, 万女士,带薪年假，五险一金，年终奖，零食下午茶，节日福利，全勤奖
java工程师,Java工程师,成都,6000,11000,5-10,本科,成都耘云,计算机软件不需要融资20-99人,网络编程 多线程 架构师 Spring Dubbo SVN GIT NoSQL, 何女士,补充医疗保险，节日福利，五险一金，加班补助，零食下午茶，带薪年假，股票期权，年终奖，交通补助
java工程师,Java工程师,杭州,37333,73333,5-10,本科,蚂蚁集团,互联网D轮及以上10000人以上,后端工程师 Java 计算机/软件工程相关经验 Java开发经验 分布式系统开发经验, 黄先生,零食下午茶，包吃，股票期权，交通补助，定期体检，全勤奖，加班补助，餐补，住房补贴，五险一金，免费班车，带薪年假，年终奖，员工旅游，通讯补贴，节日福利
java工程师,java工程师,长沙,6000,8000,5-10,本科,华创科技,移动互联网不需要融资100-499人,SQL HTML CSS MVC开发 Spring Oracle MySQL SQL Server, 林女士,节日福利，员工旅游，加班补助，定期体检，带薪年假，年终奖，零食下午茶，五险一金
java工程师,java工程师,北京,33333,66666,5-10,本科,快手,社交网络与媒体已上市10000人以上,后端工程师 Java, 华先生,年终奖，补充医疗保险，五险一金，定期体检，节日福利，股票期权，带薪年假
java工程师,Java工程师,深圳,10000,11000,5-10,本科,智造云,计算机软件未融资0-20人,后端开发 Java Javascript, 刘先生, 
java工程师,Java工程师,上海,6500,9750,5-10,本科,上海万真物联科技,计算机软件未融资0-20人,后端开发, 胡先生,五险一金，保底工资，绩效奖金
java工程师,Java工程师,乌鲁木齐,8000,13000,5-10,本科,龙德传仁,电子商务未融资0-20人,Spring JQuery 搜索引擎技术 MySQL JavaScript Java Linux 项目管理, 龙先生, 
java工程师,Java工程师,广州,10000,15000,5-10,本科,广州欧菲尚电子商务,电子商务不需要融资100-499人,Java Python MyBatis Spring MySQL, 陈先生,团建聚餐，生日福利，绩效奖金，节日福利，五险一金，底薪加提成，加班补助，年终奖，五险一金，零食下午茶
java工程师,java工程师,北京,14000,17000,5-10,本科,智慧改变科技公司,互联网未融资20-99人,Java Spring MyBatis Java开发经验, 王女士,带薪年假，加班补助，交通补助，五险一金，年终奖，节日福利
java工程师,java工程师,北京,8000,9000,5-10,本科,北京四联,计算机软件20-99人,HTML5 Java 数据库, 张先生, 
java工程师,Java工程师,南通,10000,15000,5-10,本科,吾爱网,计算机软件20-99人,Spring SpringCloud SpringBoot Redis MySQL 后端开发 Linux 分布式技术, 踪先生, 
java工程师,java工程师,西安,11916,18416,5-10,本科,鲸鱼互动,互联网不需要融资20-99人,后端工程师 Java MySQL Java开发经验 分布式系统开发经验 Java SpringCloud Spring Dubbo Redis MySQL 微服务架构, 梁女士,定期体检，带薪年假，节日福利，五险一金，全勤奖，零食下午茶，年终奖
java工程师,Java工程师,芜湖,4000,8000,5-10,本科,安徽智佳,新零售A轮20-99人,Java开发经验 Java MySQL 架构师 物联网 后端工程师 后端开发 计算机/软件工程相关经验 Python, 陶女士,年终奖，带薪年假，五险一金，有无线网，零食下午茶，节日福利，股票期权，员工旅游，交通补助，底薪加提成，绩效奖金
java工程师,JAVA工程师,北京,10000,15000,5-10,本科,荣信互联,互联网未融资0-20人,Java IT项目管理 架构师, 张先生, 
java工程师,Java工程师,南京,9750,15166,5-10,本科,微著科技,计算机软件0-20人,Java 微服务架构 Spring 后端开发, 史先生,年终奖，节日福利，餐补，员工旅游，五险一金，交通补助，通讯补贴，定期体检
java工程师,Java工程师,南京,6083,7604,5-10,本科,爱自游,互联网不需要融资20-99人,SQL Spring SpringBoot MySQL Redis 后端开发 Linux GIT, 赵先生,五险一金，节日福利，零食下午茶，绩效奖金，带薪年假，夜班补助，员工旅游，团建聚餐，全勤奖
java工程师,JAVA工程师,北京,5000,8000,5-10,本科,金钻石科技,计算机软件未融资20-99人,Java开发经验 全栈工程师 Java 不接受居家办公 后端工程师 计算机/软件工程相关经验, 李女士, 
