type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
人工智能,AI人工智能讲师,广州·番禺区·市桥,8-13K,1-3年本科,邢帅教育,互联网B轮500-999人,深度学习 大数据处理工具(Spark/Hadoop/Hive) AI人工智能 讲师 ai, 林女士,零食下午茶，节日福利，五险一金，补充医疗保险，绩效奖金，带薪病假，员工旅游，带薪年假
人工智能,ai人工智能工程师,宜昌,4-5K,1-3年本科,赫尔曼数字科技,分类信息不需要融资500-999人,强化学习 深度学习 数据挖掘 自然语言处理算法 图像算法 Scala, 宋女士,宿舍有空调，补充医疗保险，交通补助，通讯补贴，免费班车，团建聚餐，包吃，底薪加提成，定期体检，餐补，五险一金，有无线网，员工旅游，包住，全勤奖，生日福利，零食下午茶，节日福利，保底工资
人工智能,Ai人工智能语音处理,商丘·梁园区·新师院北门商业圈,3-7K,1-3年本科,际月,大数据不需要融资20-99人,人工智能 大数据 音频 语音处理 数据采集 数据仓库, 郭女士,其它福利，全勤奖，带薪年假
人工智能,人工智能-AI研发方向,长沙·芙蓉区·马王堆,25-50K,1-3年本科,湖南移动,运营商/增值服务1000-9999人,深度学习 数据挖掘 Python C/C++ 大数据处理工具(Spark/Hadoop/Hive) 算法工程化经验, 张女士, 
人工智能,ai人工智能工程师,郑州·金水区·郑州东站,6-11K,1-3年本科,万宇堂,广告营销20-99人,计算机相关专业, 苏女士, 
人工智能,ai人工智能工程师,苏州·吴中区·越溪,18-30K,1-3年本科,苏州想启电子科技...,电子/半导体/集成电路未融资20-99人,语音/图像识别 OpenCV 算法 图像处理, 孙先生,五险一金，带薪年假，绩效奖金
人工智能,AI人工智能工程师,苏州·苏州工业园区·湖东,15-20K·13薪,1-3年本科,锐艾科,咨询未融资20-99人,大模型算法 强化学习 机器学习 自然语言处理算法 数据挖掘 搜索算法 不限 Python NLP, 程女士,团建聚餐，住房补贴，保底工资，年终奖，带薪年假，五险一金，交通补助，零食下午茶，节日福利，生日福利，绩效奖金
人工智能,AI人工智能课程销售,长春·南关区·明珠,5-10K,1-3年本科,郁金香信息技术,计算机软件20-99人,培训机构 有大型教育机构经验 有销售背景 全职兼职均可 大学/大专生 成人/通用 线上教育 线下教育, 刘先生, 
人工智能,AI人工智能训练师,洛阳·孟津区·孟津县中心城区,3-5K,1-3年本科,墨白科技,大数据20-99人,, 刘女士, 
人工智能,ai人工智能工程师,广州·海珠区·琶洲,15-20K·13薪,1-3年本科,丽好家,互联网不需要融资20-99人,语音/图像识别 TensorFlow/PyTorch Hadoop/Hive/Spark CNN/RNN/LSTM, 刘先生,绩效奖金，带薪年假，团建聚餐，全勤奖，零食下午茶，五险一金，年终奖，有无线网，员工旅游
人工智能,ai人工智能开发工程师,深圳·龙岗区·坂田,8-13K,1-3年本科,笔果教育科技,在线教育天使轮100-499人,智能营销/广告 搜索/推荐 Python C/C++ Java 机器学习算法/工程化经验 计算机相关专业 深度学习经验 深度学习 强化学习 模型加速/性能优化 数据挖掘 C/C++ Python Java 参加算法相关竞赛/获奖 算法工程化经验 AI工具开发 AI智能开发经验 AI学习, 周先生,零食下午茶，生日福利，底薪加提成，年终奖，节假日加班费，团建聚餐，加班补助，带薪年假，保底工资，绩效奖金，节日福利，全勤奖，五险一金，员工旅游，股票期权
人工智能,投资MD/ED/VP（人工智能AI方向）,北京·海淀区·双榆树,30-45K,1-3年本科,中科创星,基金100-499人,私募股权投资, 姚女士, 
人工智能,AI人工智能算法工程师,上海·松江区·石湖荡,25-50K,1-3年本科,上海大风,信息安全未融资100-499人,算法设计 深度学习算法 视觉图像算法 Python TensorFlow PyTorch, 孙先生,生日福利，补充医疗保险，有无线网，绩效奖金，节日福利，带薪年假，意外险，包吃，五险一金
人工智能,简直GPT训练师，人工智能训练师，AI训练师,杭州·拱墅区·德胜,100-150元/时,1-3年本科,朋兀,社交网络与媒体0-20人,深度学习 强化学习 自然语言处理算法 分布式训练 算法工程化经验, 曹先生, 
人工智能,AI设计研究员（人工智能辅助设计）,北京·门头沟区·永定,2-3K,1-3年本科,律柒言文创,文化艺术/娱乐不需要融资0-20人,语音/图像识别 计算机相关专业 数学/统计相关专业 深度学习经验, 居先生,年终奖，宿舍有空调，有无线网，法定节假日三薪，餐补，零食下午茶，住房补贴，绩效奖金，团建聚餐，包吃，包住，节日福利，五险一金，底薪加提成
人工智能,资深AI人工智能开发工程师（Python）,上海·杨浦区·延吉,15-22K·13薪,1-3年本科,英仕健康,电子商务A轮20-99人,Python, 高女士,股票期权，五险一金，意外险，带薪年假，绩效奖金，节日福利，定期体检，年终奖，补充假期
人工智能,AI人工智能训练师（事业部）-不限时地,长沙·岳麓区·王家湾,11-20K,1-3年本科,麓商科技,文化艺术/娱乐未融资20-99人,兼职工作 全职工作 标注方法优化 标注结果整理 数据标注 视频标注 文本标注 图片标注 区域标注 描点标注 分类标注 数据分析能力强 接受加班 接受居家办公, 袁先生,交通补助，保底工资，零食下午茶，节日福利，员工旅游，底薪加提成，生日福利，绩效奖金
人工智能,招聘大学专科毕业生！ 人工智能 一天8小时,焦作·解放区·焦作影视城,3-4K,1-3年本科,焱豪新创,计算机服务不需要融资20-99人,全职工作 数据标注 图片标注 标框标注 不接受居家办公, 许先生,绩效奖金，节日福利，底薪加提成，团建聚餐，全勤奖，五险一金
人工智能,人工智能,济南·历城区·唐冶,10-11K,1-3年本科,山东比亚科技,电力/热力/燃气/水利不需要融资100-499人,C/C++ Java Python, 李先生,定期体检，全勤奖，绩效奖金，交通补助，年终奖，餐补，五险一金，生日福利，带薪年假，通讯补贴，节日福利
人工智能,人工智能,达州·达川区·二马路,3-6K,1-3年本科,达州中服云科技,大数据B轮100-499人,图片 视频 文字 音频 地图, 向先生,五险，交通补助，全勤奖，团建聚餐，零食下午茶，绩效奖金，生日福利
人工智能,人工智能,绍兴,5-8K,1-3年本科,吉米教育科技,培训/辅导机构未融资20-99人,Python C语言 机器人, 郑女士,五险一金，员工旅游，年终奖，全勤奖，餐补，通讯补贴，包吃，交通补助，节日福利，住房补贴
人工智能,人工智能,北京·东城区·和平里,20-40K·14薪,1-3年本科,联通数字科技有限公司,计算机软件不需要融资1000-9999人,机器学习 大模型算法 强化学习 自然语言处理算法 语音算法 多模态算法 Python 发表算法相关优秀论文, 孙先生,年终奖，五险一金，通讯补贴，意外险，团建聚餐，补充医疗保险，法定节假日三薪，企业年金，带薪年假，免费工装，节假日加班费，员工旅游，保底工资，定期体检，节日福利，零食下午茶，加班补助，绩效奖金，生日福利
人工智能,人工智能讲师,南宁·邕宁区·蒲庙,12-24K,1-3年本科,云科未来,在线教育不需要融资100-499人,机器学习 深度学习, 李女士,通讯补贴，定期体检，交通补助，员工旅游，餐补，五险一金，带薪年假，节日福利
人工智能,人工智能教师,太原·小店区·黄陵,6-8K,1-3年本科,山西赋能机器人,智能硬件D轮及以上0-20人,人工智能教师 创客课程老师 机器人课程老师 编程课程老师, 李先生,加班补助
人工智能,人工智能工程师,北京·丰台区·科技园区,18-23K,1-3年本科,北京慧德安网络科技,计算机硬件100-499人,C/C++ Python Java, 罗女士, 
人工智能,人工智能工程师,深圳·宝安区·西乡,12-19K,1-3年本科,云事通,智能硬件未融资20-99人,深度学习算法 自然语言处理 视觉图像算法 人脸识别, 龙先生,加班补助，节日福利，餐补，员工旅游，股票期权，五险一金，全勤奖，零食下午茶，通讯补贴，年终奖，带薪年假
人工智能,人工智能工程师,临沂·兰山区·临西八路,20-21K,1-3年本科,山东光之城市政工程,工程施工20-99人,搜索/推荐 机器学习算法/工程化经验, 孙先生, 
人工智能,人工智能实习生,北京·通州区·武夷花园,100-150元/天,1-3年本科,汇智有识,企业服务未融资0-20人,计算机相关专业, 陈女士,年终奖，五险一金
人工智能,人工智能工程师,石家庄·裕华区·育才,12-15K·13薪,1-3年本科,河北梵钰科技有限公司,计算机服务未融资20-99人,Python 深度学习算法 视觉图像算法 PyTorch TensorFlow, 孙先生,生日福利，免费班车，带薪年假，工龄奖，保底工资，绩效奖金，年终奖，五险一金
人工智能,人工智能工程师,南昌,8-13K,1-3年本科,赣江新区智药善和科技,生物/制药20-99人,深度学习 机器学习 图像算法 搜索算法 自然语言处理算法 Python, 金女士,工龄奖，绩效奖金，交通补助，带薪年假，宿舍有空调，餐补，五险一金，工会福利，生日福利，意外险，年终奖，节日福利
人工智能,人工智能专任教师,马鞍山,8-10K·13薪,经验不限硕士,马鞍山学院,学术/科研100-499人,教师, 刘女士, 
人工智能,人工智能训练师,盘锦·盘山县·井下,2-4K,经验不限硕士,辽宁云创智星信息科技,大数据未融资20-99人,全职工作 标注方法优化 数据标注 标注数据分析 图片标注 文本标注 区域标注 描点标注 标框标注 数据分析能力强 不接受居家办公, 张先生,定期体检，补充医疗保险，有无线网，意外险，节日福利，团建聚餐，生日福利，绩效奖金，底薪加提成，员工旅游，夜班补助，加班补助，保底工资，五险一金
人工智能,人工智能标注,南昌·南昌县·昌东,3-4K,经验不限硕士,思玄科技,大数据100-499人,全职工作 兼职工作 标注方法优化 标注结果整理 数据标注 图片标注 文本标注 视频标注 区域标注 描点标注 分类标注 接受加班 数据分析能力强, 袁先生,绩效奖金，年终奖，节假日加班费，夜班补助，餐补，工龄奖，股票期权，加班补助，零食下午茶，团建聚餐，员工旅游，全勤奖
人工智能,人工智能训练师,自贡·大安区·龙井,4-6K,经验不限硕士,胜图信息,大数据不需要融资100-499人,计算机相关专业, 宋女士,全勤奖，交通补助，节日福利，员工旅游，加班补助，五险一金，年终奖，餐补
人工智能,高级人工智能工程师,广州·南沙区·金洲,3000-6000元/月,经验不限硕士,服至,企业服务未融资0-20人,机器学习 大模型算法 强化学习 推荐算法 数据挖掘 搜索算法 Python Java MATLAB 算法工程化经验, 魏先生,绩效奖金，五险一金，底薪加提成，股票期权，年终奖
人工智能,人工智能销售,杭州·余杭区·五常,10-15K,经验不限硕士,杭州喜倍科技有限公司,其他行业0-20人,企业（To B） 电话销售 会展销售 面销/陌拜 电子商务 无经验要求 软件/企业服务产品, 李女士,节日福利，员工旅游，全勤奖，交通补助，五险一金，带薪年假，年终奖
人工智能,AR人工智能,晋城,20-30K,经验不限硕士,山西旺鸿商贸有限公司,电子商务20-99人,搜索/推荐, 马先生,有无线网，全勤奖，零食下午茶，免费班车，生日福利，团建聚餐，工龄奖，交通补助，员工旅游，绩效奖金，节日福利，底薪加提成，节假日加班费
人工智能,人工智能训练师,四平·铁东区·星缘圣府,3-5K,经验不限硕士,玖鼎云博科技,计算机服务天使轮100-499人,全职工作 标注数据分析 图片标注 文本标注 区域标注 描点标注 标框标注 不接受居家办公, 杜先生,交通补助，全勤奖
人工智能,人工智能训练师,银川·兴庆区·中国银川国际商贸城,2-4K,经验不限硕士,众数云算教育科技,大数据未融资20-99人,全职工作 标注结果整理 数据标注 标注数据分析 图片标注 文本标注 语音标注 区域标注 分类标注 标框标注 数据分析能力强, 温先生,全勤奖，意外险，团建聚餐，绩效奖金，生日福利，有无线网，零食下午茶，保底工资
人工智能,人工智能训练师,杭州,9-14K,经验不限硕士,杭州摩科智能互联,智能硬件不需要融资100-499人,客服, 陈女士,带薪年假，高温补贴，节日福利，全勤奖，零食下午茶，生日福利，加班补助，有无线网，股票期权，年终奖，五险一金
人工智能,人工智能训练师,濮阳·濮阳县·濮阳经开区,3-8K,经验不限硕士,濮阳青承科技有限公司,大数据不需要融资20-99人,全职工作 数据标注 标注数据分析 图片标注 文本标注 语音标注 描点标注 分类标注 标框标注 数据分析能力强 不接受居家办公, 刘女士,意外险，底薪加提成，全勤奖，包吃
人工智能,人工智能训练师,哈尔滨·南岗区·哈西,3-6K,经验不限硕士,腾谋科技,互联网0-20人,计算机相关专业 图像识别经验, 李先生,住房补贴，底薪加提成，有无线网，交通补助，团建聚餐
人工智能,人工智能数据文员,新余·渝水区·喜盈门·范城购物中心,3-6K,经验不限硕士,江西云百讯,计算机服务未融资500-999人,计算机相关专业, 焦先生,保底工资，宿舍有空调，绩效奖金，节日福利，加班补助，包住，底薪加提成，意外险，住房补贴，五险一金
人工智能,人工智能产品经理,绍兴·柯桥区·安昌镇,5-6K·14薪,经验不限硕士,浙江海士,智能硬件未融资0-20人,平台产品 人工智能产品 移动端产品 智能硬件产品 物联网产品 产品运营, 李先生,五险一金，带薪年假，底薪加提成
人工智能,人工智能训练师,海口·龙华区·滨海大道,3-6K,经验不限硕士,海南云珩,计算机服务未融资500-999人,全职工作 数据标注 图片标注 文本标注 视频标注 区域标注 分类标注 标框标注, 黄女士,团建聚餐，餐补，零食下午茶，生日福利，绩效奖金，全勤奖，保底工资，有无线网，社保，宿舍有空调
人工智能,人工智能数据标注,保定·涿州市·清凉寺,1-2K,经验不限硕士,彦犀科技,互联网未融资0-20人,数据标注 接受居家办公, 张先生,底薪加提成，绩效奖金
人工智能,人工智能训练师,朝阳·双塔区·文化路,3-4K,经验不限硕士,朝阳网络,互联网不需要融资20-99人,数据标注 不接受居家办公 语音标注 标注结果整理 视频标注 数据分析能力强 区域标注 有耐心 接受加班 文本标注 全职工作 认真负责 标注数据分析 描点标注 分类标注 抗压能力强, 冯先生,五险一金，定期体检，加班补助，股票期权，零食下午茶
人工智能,人工智能标注师,新余·渝水区·喜盈门·范城购物中心,4-6K,经验不限硕士,汉文科技,大数据不需要融资100-499人,全职工作 区域标注 标框标注, 廖女士,绩效奖金，五险，餐补，全勤奖，底薪加提成
人工智能,人工智能训练师,锡林郭勒盟·锡林浩特市·锡林大街,3-5K,经验不限硕士,世通联晟网络技术,大数据20-99人,全职工作 标注方法优化 数据标注 标注数据分析 图片标注 文本标注 语音标注 区域标注 描点标注 标框标注 数据分析能力强 想挣钱的，不懒惰的，年轻人, 包先生,员工旅游，带薪年假，交通补助，全勤奖，节日福利
人工智能,人工智能产品经理,东莞·大朗镇·长盛广场,10-11K,经验不限硕士,鑫与芯,休闲/娱乐100-499人,AI机器人, 向女士, 
人工智能,华为人工智能计算平台算法,深圳·龙岗区·坂田,20-40K,经验不限硕士,华为,计算机软件不需要融资10000人以上,深度学习算法 视觉图像算法 Python C语言 TensorFlow Caffe PyTorch, 屈先生,五险一金，股票期权，加班补助，定期体检，员工旅游，补充医疗保险，年终奖，零食下午茶，节日福利，餐补
人工智能,人工智能平台技术支撑,郑州·二七区·桃源路,6-10K·13薪,经验不限硕士,飙风科技,计算机软件不需要融资20-99人,企业内部IT技术支持 售前/售后技术支持 Python 计算机/通信相关专业 IT技术支持经验, 崔先生,生日福利，节日福利，有无线网，节假日加班费，团建聚餐，定期体检，餐补，带薪年假，五险一金，加班补助，夜班补助，年终奖
人工智能,人工智能工程师,郑州·中原区·高新区,15-20K·13薪,经验不限硕士,河南奥罗拉,智能硬件未融资100-499人,Python C/C++ TensorFlow/PyTorch 计算机相关专业 机器学习算法/工程化经验 深度学习经验, 伦先生,年终奖，团建聚餐，带薪年假，餐补，员工旅游，保底工资，股票期权，底薪加提成，工龄奖，绩效奖金，全勤奖，五险一金，定期体检，节日福利
人工智能,python人工智能讲师,北京·海淀区·皂君庙,10-15K,经验不限硕士,达内集团,在线教育已上市10000人以上,Python Shell MySQL, 马女士,节日福利，带薪年假，五险一金
人工智能,人工智能算法工程师,上海·浦东新区·张江,20-30K,经验不限硕士,上海人工智能网络...,信息安全未融资20-99人,无明显侧重 云计算 C/C++ Python 计算机相关专业 数学/统计相关专业 机器学习算法/工程化经验, 于女士,年终奖，五险一金，节日福利，带薪年假
人工智能,python人工智能兼职,深圳·福田区·上步,1000-1800元/周,经验不限硕士,龙潜科技,计算机软件0-20人,机器学习 强化学习 其他 图像算法 其他 Python, 陈先生, 
人工智能,人工智能工程师,太原·小店区·富士康,3-6K,经验不限硕士,百川信息科技有限公司,大数据未融资100-499人,数据分析 人工智能训练师 数据标注 数据优化, 董先生,全勤奖，零食下午茶，年终奖，员工旅游，节日福利，加班补助
人工智能,人工智能算法工程师,北京·西城区·西单,10-15K,经验不限硕士,中电南方,计算机软件未融资0-20人,Python 图像识别经验 人脸识别经验 遥感影像相关经验, 聂女士,五险一金，定期体检，年终奖，带薪年假
人工智能,保险风险人工智能岗,北京·朝阳区·朝外,15-20K,经验不限硕士,北京一蜂科技有限公司,大数据未融资20-99人,风险管理研究 精算评估及相应分析工作 互联网金融 医疗/大健康 数据服务 计算机/统计/精算等相关学历 熟悉保险精算模型, 王女士,节日福利，补充医疗保险，五险一金，年终奖，带薪年假，员工旅游，定期体检，健身
人工智能,人工智能平台产品经理,杭州·余杭区·仓前,20-40K·13薪,经验不限硕士,数新网络,互联网A轮100-499人,机器学习类AI, 王女士,餐补，定期体检，年终奖，员工旅游，带薪年假，包吃，节日福利，补充医疗保险，育儿假，零食下午茶，五险一金
人工智能,人工智能工程师,北京·海淀区·大钟寺,15-25K·13薪,1-3年本科,中知法苑,专利/商标/知识产权未融资0-20人,计算机相关专业 机器学习算法/工程化经验 深度学习经验, 李先生,年终奖，节日福利，带薪年假，加班补助，定期体检，股票期权，员工旅游，五险一金
人工智能,人工智能异构优化工程师,郑州·中原区·高新区,25-45K,1-3年本科,中科曙光,互联网已上市1000-9999人,性能优化 cutlass 深度学习, 杜先生,员工旅游，通讯补贴，补充医疗保险，加班补助，定期体检，带薪年假，节日福利，交通补助，项目奖金，包吃，免费班车，五险一金，全勤奖
人工智能,人工智能算法工程师,武汉·江岸区·建设大道,20-35K·13薪,1-3年本科,易途客,运营商/增值服务20-99人,大模型算法 深度学习 机器学习 自然语言处理算法 Python Java C/C++ 算法工程化经验 优秀开源项目经历, 袁女士, 
人工智能,人工智能算法工程师,杭州·萧山区·北干,21-40K,1-3年本科,浙江连湖,计算机软件天使轮0-20人,研究导向 语音/图像识别 云计算 搜索/推荐 C/C++ Python TensorFlow/PyTorch 计算机相关专业, 李先生,法定节假日三薪，年终奖，五险一金
人工智能,人工智能算法工程师,西安·雁塔区·枫林绿洲,12-24K,1-3年本科,云视图,电子/半导体/集成电路不需要融资20-99人,深度学习算法 视觉图像算法 C++ Python 嵌入式技术 计算机软件 PyTorch Caffe, 宁先生,员工旅游，节日福利，绩效奖金，带薪年假，免费工装，保底工资，团建聚餐，年终奖，有无线网，五险一金
人工智能,人工智能算法工程师,西安·雁塔区·高新软件园,20-30K·16薪,1-3年本科,西安华为云计算公司,计算机软件不需要融资10000人以上,云计算 Python TensorFlow/PyTorch, 刘先生,有无线网，夜班补助，节假日加班费，保底工资，节日福利，法定节假日三薪，零食下午茶，团建聚餐，年终奖，免费班车，绩效奖金，带薪年假，加班补助，五险一金，底薪加提成，意外险，定期体检，免费工装，补充医疗保险
人工智能,人工智能-数据采集岗,天津·西青区·大寺,3-4K,1-3年本科,自然视界,大数据未融资20-99人,数据采集员, 詹先生, 
人工智能,人工智能设备区域经理,上饶·信州区·上饶市政府,7-12K,1-3年本科,讯六网络,电子/硬件开发0-20人,客户/渠道开发及运营 市场调研 制定区域营销计划 政府/社会团体 企业 互联网/科技 较多出差 销售经验 开城经验, 陈先生, 
人工智能,人工智能算法工程师,北京·海淀区·五道口,50-80K·15薪,1-3年本科,迈趣科技,计算机软件未融资0-20人,Python Golang Java, 程先生,包住，生日福利，餐补，住房补贴，包吃，全勤奖，五险一金，年终奖，员工旅游，保底工资，绩效奖金，节日福利，法定节假日三薪，带薪年假，工龄奖
