type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
软件测试,软件测试,杭州·余杭区·仓前,12-20K·15薪,3-5年本科,美克生能源,智能硬件C轮100-499人,掌握软件测试理论和流程 软件开发经验, 李先生,五险一金，带薪年假，节日福利，股票期权，住房补贴
软件测试,软件测试,苏州·吴中区,6-10K,3-5年本科,量子方舟,计算机软件未融资20-99人,软件测试, 潘女士, 
软件测试,软件测试,南京·建邺区·奥体,120-170元/天,3-5年本科,爱自游,互联网不需要融资20-99人,功能测试 性能测试 压力测试 Java MySQL Postman 计算机相关专业 测试工作经验, 赵先生,节日福利，五险一金，零食下午茶，绩效奖金，带薪年假，全勤奖，夜班补助，员工旅游，团建聚餐
软件测试,软件测试,东莞·大朗镇·松山湖,5-9K·13薪,3-5年本科,华勤技术股份有限公司,智能硬件B轮10000人以上,手机测试 黑盒测试 功能测试 Android测试, 王先生,股票期权，补充医疗保险，餐补，员工旅游，节日福利，五险一金，定期体检，带薪年假，年终奖，交通补助
软件测试,软件测试,杭州·滨江区·长河,13-26K·14薪,3-5年本科,华为技术有限公司,计算机软件不需要融资10000人以上,功能测试 性能测试 自动化测试 Java Python MySQL 计算机相关专业 通信相关专业 测试工作经验, 陈女士,五险一金，餐补，住房补贴，免费班车，定期体检，补充医疗保险，全勤奖，通讯补贴，员工旅游，股票期权，加班补助，交通补助，带薪年假，节日福利，年终奖，零食下午茶，离职补偿
软件测试,软件测试,呼和浩特·赛罕区·内大,5-10K,3-5年本科,安盾信息,信息安全未融资0-20人,Java JMeter 测试工作经验 软件开发经验 安全测试 系统测试 性能测试 压力测试 移动端测试 功能测试 接口测试 测试开发, 李女士,交通补助，补充医疗保险，带薪年假，有无线网，加班补助，工龄奖，节日福利，生日福利，意外险，定期体检
软件测试,软件测试,石家庄·桥西区·益友百货,7-9K,3-5年本科,金石威视,互联网不需要融资20-99人,系统测试, 崔女士,零食下午茶，交通补助，员工旅游，带薪年假，五险一金，加班补助，节日福利，餐补
软件测试,软件测试,武汉·江夏区·光谷东,7-12K,3-5年本科,软通动力,计算机软件已上市10000人以上,功能测试, 朱女士,交通补助，定期体检，生日福利，零食下午茶，五险一金，加班补助，带薪年假，免费班车，节日福利，补充医疗保险，通讯补贴，团建活动
软件测试,软件测试,上海·嘉定区·江桥,1-5K,3-5年本科,盟广信息技术有限...,酒店/民宿不需要融资100-499人,MySQL 功能测试 计算机相关专业, 王先生,节日福利，免费班车，团建聚餐，餐补，员工旅游，带薪年假，五险一金，股票期权，加班补助，定期体检，年终奖
软件测试,软件测试,苏州·虎丘区·狮山,6-10K,3-5年本科,沈苏科技股份,计算机软件B轮500-999人,功能测试 MySQL JMeter 计算机相关专业 测试工作经验 掌握软件测试理论和流程, 贾女士,五险一金，交通补助，节日福利，通讯补贴，股票期权，加班补助，生日福利，带薪年假，年终奖，团建聚餐，餐补，定期体检
软件测试,软件测试,长沙·岳麓区·麓谷,15-25K,3-5年本科,华为,计算机软件不需要融资10000人以上,功能测试 自动化测试, 王先生,年终奖，员工旅游，股票期权，餐补，定期体检，零食下午茶，补充医疗保险，加班补助，节日福利，五险一金
软件测试,软件测试工程师,嘉兴·秀洲区·高照,7-10K,3-5年本科,嘉科信息,计算机软件未融资100-499人,自动化测试 性能测试 接口测试 接口自动化测试 SQL Shell Jmeter Postman, 魏先生,五险一金，定期体检
