type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
新媒体技术,新媒体运营,南京·秦淮区·大光路,4-8K,经验不限本科,派力新媒体,社交网络与媒体未融资0-20人,公众号/朋友圈运营 社群运营 后期剪辑 专业拍摄 PS/AI 短视频运营 有责任心, 周先生,全勤奖，年终奖，通讯补贴，五险一金，餐补，交通补助，节日福利，零食下午茶
新媒体技术,新媒体运营,武汉·武昌区·粮道街,6-8K,经验不限本科,瑞能华辉能源,O2OA轮20-99人,专业拍摄 后期剪辑 专业脚本 插画制作 短视频运营 公众号/朋友圈运营 矩阵营销, 肖女士,生日福利，全勤奖，节日福利，五险一金，绩效奖金，团建聚餐，股票期权，工龄奖，带薪年假，底薪加提成，零食下午茶，员工旅游，定期体检，年终奖，五险
新媒体技术,新媒体运营,江门·蓬江区,5-8K,经验不限本科,广东启航,仪器仪表/工业自动化未融资20-99人,短视频运营 公众号/朋友圈运营 PS/AI 职场, 陈女士,带薪年假，员工旅游，餐补，定期体检，年终奖，全勤奖
新媒体技术,新媒体运营,盘锦·兴隆台区·兴隆四百,3-4K,经验不限本科,盘锦市兴隆台区六...,电子商务0-20人,后期剪辑 专业拍摄 电商 时尚 公众号/朋友圈运营 短视频运营 矩阵营销, 单女士, 
新媒体技术,新媒体运营,恩施土家族苗族自治州·恩施市·金桂大道,3-8K,经验不限本科,恩施映像商贸,服装/纺织0-20人,专业拍摄 后期剪辑 专业脚本 PS/AI 时尚 矩阵营销 短视频运营 社群运营, 李女士, 
新媒体技术,新媒体运营,南阳,10-11K,经验不限本科,融本经纪,房地产中介/租赁未融资100-499人,用户行为分析 媒介媒体 新媒体运营 页面排版 用户画像研究, 景女士,餐补，年终奖，零食下午茶，带薪年假，节日福利，住房补贴，员工旅游，通讯补贴
新媒体技术,新媒体运营,太原·迎泽区·老军营,5-8K,经验不限本科,七大洲房车,移动互联网0-20人,后期剪辑 微信10万+阅读 旅游 公众号/朋友圈运营 短视频运营 专业拍摄 PS/AI, 贾先生, 
新媒体技术,留学新媒体运营,上海·黄浦区·人民广场,10-15K,经验不限本科,上海金矢,学术/科研未融资20-99人,策划热点事件 教育培训 社群运营 微信10万+阅读 PS/AI 公众号/朋友圈运营, 周先生,五险一金，餐补，年终奖，加班补助，员工旅游，带薪年假，零食下午茶，通讯补贴，定期体检，交通补助，全勤奖
新媒体技术,新媒体运营专员,西安·未央区·明光路,5-6K,经验不限本科,陕西潮汐品牌管理...,食品/饮料/烟酒不需要融资20-99人,后期剪辑 专业脚本 短视频运营, 赵女士,带薪年假，节日福利，交通补助，保底工资，全勤奖，工龄奖，法定节假日三薪，节假日加班费，意外险，底薪加提成，员工旅游，夜班补助，绩效奖金
新媒体技术,新媒体运营助理,芜湖·鸠江区·波尔卡,2-7K,经验不限本科,独角兽产业园,非盈利机构未融资0-20人,专业脚本 专业拍摄 后期剪辑 插画制作 团队管理经验 新闻资讯 短视频运营 公众号/朋友圈运营, 黄先生,节日福利，节假日加班费，团建聚餐，年终奖，底薪加提成，宿舍有空调，零食下午茶，员工旅游，绩效奖金，交通补助，定期体检，生日福利，有无线网，企业年金，带薪年假，保底工资
新媒体技术,新媒体运营专员,南京·江宁区·将军大道,6-11K·13薪,经验不限本科,南京臻融软件,计算机软件A轮20-99人,媒体运营, 吕女士,五险一金，餐补，全勤奖，补充医疗保险，年终奖，定期体检，股票期权，节日福利，带薪年假，加班补助，员工旅游
新媒体技术,新媒体运营实习生,广州·海珠区·江南大道,120-200元/天,经验不限本科,客尼,职业培训不需要融资100-499人,微信10万+阅读 教育培训 新闻资讯 公众号/朋友圈运营 短视频运营 社群运营 CET4以上, 梁先生,团建聚餐，绩效奖金，节日福利，员工旅游，零食下午茶，五险一金，生日福利，定期体检，赴德培训，餐补，补充医疗保险，通讯补贴，带薪年假，年终奖，意外险
新媒体技术,新媒体运营经理/主管,舟山,5-8K,经验不限本科,阳光装饰,装修装饰未融资100-499人,专业拍摄 后期剪辑 公众号/朋友圈运营 短视频运营 社群运营, 叶女士,五险一金，保底工资，团建聚餐，底薪加提成，带薪年假，绩效奖金，工龄奖，生日福利，员工旅游，节日福利
